\Gamma,52883
\Delta,52884
\Lambda,52891
\Phi,52646
\Pi,52896
\Psi,52904
\Sigma,52899
\Upsilon,52901
\Xi,52894
\Omega,52905
\alpha,52913
\beta,52914
\gamma,52915
\delta,52916
\epsilon,52917
\zeta,52918
\eta,52919
\theta,52920
\iota,52921
\kappa,52922
\lambda,52923
\mu,52924
\nu,52925
\xi,52926
\pi,53120
\rho,53121
\sigma,53123
\tau,53124
\upsilon,53125
\phi,53126
\chi,53127
\psi,53128
\omega,53129
\digamma,52663
\varepsilon,
\varphi,
\varpi,
\varrho,
\varsigma,
\vartheta,
